MC, ../100_1.txt, -1
3, 181, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test2, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, -1
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test.clq, make
4, 4, 0

BBMC2, ../test2, -1
4, 4, 0

BBMC2, ../test2, -1
4, 4, 0

BBMC2, ../test2, -1
4, 4, 0

BBMC2, ../test2, -1
4, 4, 0

BBMC2, ../test3.clq, -1
7, 17, 1

BBMC2, ../test3.clq, -1
7, 17, 1

BBMC2, ../test3.clq, -1
7, 17, 1

BBMC2, ../test3.clq, -1
7, 17, 0

BBMC2, ../test3.clq, -1
7, 17, 0

BBMC2, ../test3.clq, -1
7, 17, 0

BBMC2, ../test3.clq, -1
7, 17, 109

BBMC2, ../test3.clq, -1
7, 17, 105

BBMC2, ../test3.clq, -1
7, 17, 109

BBMC2, ../test3.clq, -1
7, 17, 109

BBMC2, ../test3.clq, -1
7, 17, 109

BBMC2, ../test3.clq, -1
7, 17, 108

BBMC2, ../test3.clq, -1
7, 17, 108

BBMC2, ../test3.clq, -1
7, 17, 0

BBMC2, ../test3.clq, -1
7, 17, 0

BBMC2, ../test3.clq, -1
7, 17, 78

BBMC2, ../test3.clq, -1
7, 17, 80

BBMC2, ../test3.clq, -1
7, 17, 96

BBMC2, ../test3.clq, -1
7, 17, 229

BBMC2, ../test3.clq, -1
7, 17, 240

BBMC2, ../test3.clq, -1
7, 17, 216

BBMC2, ../test3.clq, -1
7, 17, 185

BBMC2, ../test3.clq, -1
7, 17, 225

BBMC2, ../test3.clq, -1
7, 17, 235

BBMC2, ../test3.clq, -1
7, 17, 194

BBMC2, ../test3.clq, -1
7, 17, 195

BBMC2, ../test3.clq, -1
7, 17, 242

BBMC2, ../test3.clq, -1
7, 17, 184

BBMC2, ../test3.clq, -1
7, 17, 188

BBMC2, ../test3.clq, -1
7, 17, 218

BBMC2, ../test3.clq, -1
7, 17, 214

BBMC2, ../test3.clq, -1
7, 17, 234

BBMC2, ../test3.clq, -1
7, 17, 243

BBMC2, ../test3.clq, -1
7, 17, 249

BBMC2, ../test3.clq, -1
7, 17, 217

BBMC2, ../test3.clq, -1
7, 17, 237

BBMC2, ../test3.clq, -1
7, 17, 226

BBMC2, ../test3.clq, -1
7, 17, 250

BBMC2, ../test3.clq, -1
7, 17, 216

BBMC2, ../test3.clq, -1
7, 17, 241

